"","t","doEcdf","rfeVars","resample","model","vars","acc","kappa","numChains","nrowData","truth","pred"
"1",1,TRUE,TRUE,1,"A1",11,0.22,-0.0785398230088496,11,186,"a,c,p,p,c,p,p,p,p,p,p,a,a,a,p,p,p,p,p,p,c,c,p,c,c,p,a,p,p,c,a,a,p,a,c,p,p,c,c,a,p,a,c,c,p,p,c,p,p,c","p,a,p,a,a,a,a,a,a,p,a,p,a,a,p,a,a,a,a,a,p,a,a,a,p,a,a,p,a,a,a,a,a,p,a,a,a,p,a,a,a,p,a,a,a,p,a,a,a,a"
"2",1,FALSE,TRUE,1,"A1",11,0.22,0.00102459016393442,11,186,"a,c,p,p,c,p,p,p,p,p,p,a,a,a,p,p,p,p,p,p,c,c,p,c,c,p,a,p,p,c,a,a,p,a,c,p,p,c,c,a,p,a,c,c,p,p,c,p,p,c","a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a"
"3",1,TRUE,FALSE,1,"A1",49,0.2,-0.116071428571429,11,186,"a,c,p,p,c,p,p,p,p,p,p,a,a,a,p,p,p,p,p,p,c,c,p,c,c,p,a,p,p,c,a,a,p,a,c,p,p,c,c,a,p,a,c,c,p,p,c,p,p,c","p,a,p,a,a,a,a,a,a,p,a,p,a,a,p,a,a,a,a,a,p,a,a,a,p,a,a,p,a,a,a,p,a,p,a,a,a,p,a,a,a,p,a,a,a,p,a,a,a,a"
"4",1,FALSE,FALSE,1,"A1",49,0.14,-0.126834381551363,11,186,"a,c,p,p,c,p,p,p,p,p,p,a,a,a,p,p,p,p,p,p,c,c,p,c,c,p,a,p,p,c,a,a,p,a,c,p,p,c,c,a,p,a,c,c,p,p,c,p,p,c","c,a,c,a,a,a,a,a,a,p,a,c,c,c,c,a,c,a,a,a,c,a,a,a,c,a,c,p,a,a,c,c,a,a,a,a,a,c,a,a,a,c,a,a,a,c,a,a,a,a"
"5",1,TRUE,TRUE,2,"A1",11,0.24,-0.0857142857142858,8,186,"a,c,c,p,c,p,p,c,p,p,p,a,c,p,p,c,p,c,p,p,c,a,a,a,a,p,p,p,a,p,a,c,p,p,p,p,a,a,a,c,p,p,p,p,p,p,a,c,p,p","p,a,a,a,p,a,p,a,a,a,a,p,a,a,a,a,p,a,a,a,p,a,p,p,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a"
"6",1,FALSE,TRUE,2,"A1",11,0.24,-0.0326086956521739,8,186,"a,c,c,p,c,p,p,c,p,p,p,a,c,p,p,c,p,c,p,p,c,a,a,a,a,p,p,p,a,p,a,c,p,p,p,p,a,a,a,c,p,p,p,p,p,p,a,c,p,p","a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,p,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a"
"7",1,TRUE,FALSE,2,"A1",49,0.24,-0.0857142857142858,8,186,"a,c,c,p,c,p,p,c,p,p,p,a,c,p,p,c,p,c,p,p,c,a,a,a,a,p,p,p,a,p,a,c,p,p,p,p,a,a,a,c,p,p,p,p,p,p,a,c,p,p","p,a,a,a,p,a,p,a,a,a,a,p,a,a,a,a,p,a,a,a,p,a,p,p,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a"
"8",1,FALSE,FALSE,2,"A1",49,0.16,-0.136978884677856,8,186,"a,c,c,p,c,p,p,c,p,p,p,a,c,p,p,c,p,c,p,p,c,a,a,a,a,p,p,p,a,p,a,c,p,p,p,p,a,a,a,c,p,p,p,p,p,p,a,c,p,p","c,a,a,a,p,a,c,a,a,a,a,p,a,a,a,a,p,a,a,a,p,c,c,c,a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,a,a"
"9",1,TRUE,TRUE,3,"A1",11,0.208333333333333,-0.144291091593476,11,188,"c,a,c,p,p,p,p,a,p,p,c,p,p,p,p,a,c,p,p,p,a,a,p,p,c,p,a,p,p,p,c,a,a,a,a,a,p,c,c,p,c,c,c,c,p,p,p,p","p,a,a,a,p,a,a,a,p,a,a,a,a,a,a,p,a,a,a,a,p,a,a,a,p,a,a,p,a,a,p,a,p,p,a,p,a,a,a,a,p,a,a,a,p,a,a,a"
"10",1,FALSE,TRUE,3,"A1",11,0.1875,-0.106382978723404,11,188,"c,a,c,p,p,p,p,a,p,p,c,p,p,p,p,a,c,p,p,p,a,a,p,p,c,p,a,p,p,p,c,a,a,a,a,a,p,c,c,p,c,c,c,c,p,p,p,p","a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,p,a,p,a,a,p,a,a,a,a,p,a,a,a,p,a,a,a"
"11",1,TRUE,FALSE,3,"A1",49,0.229166666666667,-0.124050632911392,11,188,"c,a,c,p,p,p,p,a,p,p,c,p,p,p,p,a,c,p,p,p,a,a,p,p,c,p,a,p,p,p,c,a,a,a,a,a,p,c,c,p,c,c,c,c,p,p,p,p","p,a,a,a,p,a,a,a,p,a,a,a,a,a,a,p,a,a,a,a,p,a,a,a,p,a,a,p,a,p,p,a,p,p,a,p,a,a,a,a,p,a,a,a,p,a,a,a"
"12",1,FALSE,FALSE,3,"A1",49,0.145833333333333,-0.170035671819263,11,188,"c,a,c,p,p,p,p,a,p,p,c,p,p,p,p,a,c,p,p,p,a,a,p,p,c,p,a,p,p,p,c,a,a,a,a,a,p,c,c,p,c,c,c,c,p,p,p,p","c,a,a,a,c,a,a,a,c,a,a,a,a,a,a,c,a,a,a,a,p,a,a,a,c,a,c,c,c,a,p,c,p,c,a,p,a,a,a,a,p,a,a,a,p,a,a,a"
"13",1,TRUE,TRUE,4,"A1",11,0.28,-0.0600706713780918,12,186,"p,p,p,c,p,a,a,c,p,p,a,a,p,p,a,a,c,p,p,p,p,p,p,p,a,c,p,c,p,p,p,a,a,p,p,p,p,p,p,a,p,c,c,p,p,p,a,p,p,p","p,a,a,a,p,a,a,a,a,a,a,a,a,a,p,a,a,p,a,a,a,a,a,a,p,a,a,p,a,p,a,a,a,a,p,a,a,p,a,p,a,a,a,a,p,a,p,a,a,a"
"14",1,FALSE,TRUE,4,"A1",11,0.22,-0.045016077170418,12,186,"p,p,p,c,p,a,a,c,p,p,a,a,p,p,a,a,c,p,p,p,p,p,p,p,a,c,p,c,p,p,p,a,a,p,p,p,p,p,p,a,p,c,c,p,p,p,a,p,p,p","a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,p,a,p,a,a,a"
"15",1,TRUE,FALSE,4,"A1",49,0.28,-0.0600706713780918,12,186,"p,p,p,c,p,a,a,c,p,p,a,a,p,p,a,a,c,p,p,p,p,p,p,p,a,c,p,c,p,p,p,a,a,p,p,p,p,p,p,a,p,c,c,p,p,p,a,p,p,p","p,a,a,a,p,a,a,a,a,a,a,a,a,a,p,a,a,p,a,a,a,a,a,a,p,a,a,p,a,p,a,a,a,a,p,a,a,p,a,p,a,a,a,a,p,a,p,a,a,a"
"16",1,FALSE,FALSE,4,"A1",49,0.18,-0.0348308934881373,12,186,"p,p,p,c,p,a,a,c,p,p,a,a,p,p,a,a,c,p,p,p,p,p,p,p,a,c,p,c,p,p,p,a,a,p,p,p,p,p,p,a,p,c,c,p,p,p,a,p,p,p","c,a,a,a,c,a,a,c,a,a,a,c,a,a,c,a,a,p,a,a,a,a,a,a,c,a,a,c,a,c,a,a,a,a,c,a,a,c,a,c,a,a,a,a,c,a,c,a,a,a"
"17",1,TRUE,TRUE,5,"A1",11,0.3,-0.0251903925014646,13,186,"p,p,a,a,p,c,p,a,c,p,p,p,p,c,a,c,c,a,c,c,p,a,c,p,a,a,c,p,p,p,p,p,a,a,c,p,p,a,a,p,p,c,p,p,p,p,a,p,c,c","p,a,a,a,a,p,a,a,p,a,p,a,a,a,p,a,a,p,a,a,a,p,a,a,p,a,a,p,a,a,a,p,a,a,a,a,a,a,a,a,a,p,a,p,a,a,a,p,a,a"
"18",1,FALSE,TRUE,5,"A1",11,0.28,0.00935608145294445,13,186,"p,p,a,a,p,c,p,a,c,p,p,p,p,c,a,c,c,a,c,c,p,a,c,p,a,a,c,p,p,p,p,p,a,a,c,p,p,a,a,p,p,c,p,p,p,p,a,p,c,c","p,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a"
"19",1,TRUE,FALSE,5,"A1",49,0.3,-0.0318396226415094,13,186,"p,p,a,a,p,c,p,a,c,p,p,p,p,c,a,c,c,a,c,c,p,a,c,p,a,a,c,p,p,p,p,p,a,a,c,p,p,a,a,p,p,c,p,p,p,p,a,p,c,c","p,a,a,a,a,p,a,a,p,a,p,a,a,a,p,p,a,p,a,a,a,p,a,a,p,a,a,p,a,a,a,p,a,a,a,a,a,a,a,a,a,p,a,p,a,a,a,p,a,a"
"20",1,FALSE,FALSE,5,"A1",49,0.24,-0.0520487264673312,13,186,"p,p,a,a,p,c,p,a,c,p,p,p,p,c,a,c,c,a,c,c,p,a,c,p,a,a,c,p,p,p,p,p,a,a,c,p,p,a,a,p,p,c,p,p,p,p,a,p,c,c","p,a,a,a,a,c,a,c,p,a,c,a,a,a,p,c,a,c,a,a,a,c,a,a,c,a,a,c,a,a,a,c,a,c,c,a,a,a,c,c,a,c,a,c,a,a,a,p,a,a"
"21",1,TRUE,TRUE,6,"A1",11,0.3125,-0.104602510460251,9,188,"c,c,c,c,a,p,p,p,c,a,a,p,a,c,p,p,p,p,a,a,c,p,p,a,a,p,p,p,p,a,a,p,a,a,p,a,a,a,a,p,p,p,p,p,p,a,c,p","p,a,a,a,p,a,p,a,a,a,a,a,p,a,a,a,a,p,a,a,a,a,a,a,a,a,a,p,a,a,a,a,p,a,a,a,p,a,a,a,a,a,a,a,a,p,a,a"
"22",1,FALSE,TRUE,6,"A1",11,0.354166666666667,-0.0122448979591837,9,188,"c,c,c,c,a,p,p,p,c,a,a,p,a,c,p,p,p,p,a,a,c,p,p,a,a,p,p,p,p,a,a,p,a,a,p,a,a,a,a,p,p,p,p,p,p,a,c,p","p,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a"
"23",1,TRUE,FALSE,6,"A1",49,0.3125,-0.111578947368421,9,188,"c,c,c,c,a,p,p,p,c,a,a,p,a,c,p,p,p,p,a,a,c,p,p,a,a,p,p,p,p,a,a,p,a,a,p,a,a,a,a,p,p,p,p,p,p,a,c,p","p,a,a,a,p,a,p,a,a,a,p,a,p,a,a,a,a,p,a,a,p,a,a,a,a,c,a,p,a,a,a,a,p,a,a,a,p,a,a,p,a,a,a,a,a,p,a,a"
"24",1,FALSE,FALSE,6,"A1",49,0.145833333333333,-0.201465201465201,9,188,"c,c,c,c,a,p,p,p,c,a,a,p,a,c,p,p,p,p,a,a,c,p,p,a,a,p,p,p,p,a,a,p,a,a,p,a,a,a,a,p,p,p,p,p,p,a,c,p","p,a,a,a,c,a,p,a,a,c,c,a,c,a,a,a,a,c,a,c,c,a,a,a,c,c,a,c,a,a,a,a,c,a,a,c,c,c,c,c,a,c,a,a,a,c,a,a"
"25",1,TRUE,TRUE,7,"A1",11,0.288461538461538,-0.00208333333333342,10,184,"p,c,p,p,c,p,p,p,p,p,p,p,c,c,c,p,p,p,c,p,p,p,p,p,p,a,a,p,c,p,p,p,p,p,c,p,p,c,a,a,a,a,p,a,a,c,p,p,a,a,p,p","p,a,a,a,a,p,a,a,a,p,a,a,p,a,a,a,p,a,a,a,a,a,a,p,a,a,a,a,p,a,p,a,a,a,a,a,a,p,a,p,p,a,p,a,a,a,a,a,a,a,a,a"
"26",1,FALSE,TRUE,7,"A1",11,0.192307692307692,-0.0311614730878187,10,184,"p,c,p,p,c,p,p,p,p,p,p,p,c,c,c,p,p,p,c,p,p,p,p,p,p,a,a,p,c,p,p,p,p,p,c,p,p,c,a,a,a,a,p,a,a,c,p,p,a,a,p,p","a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,p,a,a,a,a,a,a,a,a,a,a,a,a"
"27",1,TRUE,FALSE,7,"A1",49,0.288461538461538,-0.00208333333333342,10,184,"p,c,p,p,c,p,p,p,p,p,p,p,c,c,c,p,p,p,c,p,p,p,p,p,p,a,a,p,c,p,p,p,p,p,c,p,p,c,a,a,a,a,p,a,a,c,p,p,a,a,p,p","p,a,a,a,a,p,a,a,a,p,a,a,p,a,a,a,p,a,a,a,a,a,a,p,a,a,a,a,p,a,p,a,a,a,a,a,a,p,a,p,p,a,p,a,a,a,a,a,a,a,a,a"
"28",1,FALSE,FALSE,7,"A1",49,0.192307692307692,-0.0758620689655173,10,184,"p,c,p,p,c,p,p,p,p,p,p,p,c,c,c,p,p,p,c,p,p,p,p,p,p,a,a,p,c,p,p,p,p,p,c,p,p,c,a,a,a,a,p,a,a,c,p,p,a,a,p,p","c,a,a,a,a,p,a,a,a,c,a,a,p,a,a,a,c,a,a,a,a,a,a,p,a,a,a,a,p,a,p,a,a,a,a,a,a,p,c,p,c,a,c,a,a,c,a,a,a,c,c,a"
"29",1,TRUE,TRUE,8,"A1",11,0.3,0.0410958904109589,9,186,"p,c,p,p,a,a,a,p,p,p,p,p,p,c,p,p,p,p,a,p,c,p,p,c,p,p,c,p,p,p,p,p,p,p,p,p,a,c,p,p,p,a,a,c,p,p,a,a,p,p","p,a,a,a,p,a,a,a,a,a,a,a,a,p,a,p,a,a,a,p,a,a,a,a,p,a,a,a,a,a,a,p,a,p,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a"
"30",1,FALSE,TRUE,8,"A1",11,0.18,0,9,186,"p,c,p,p,a,a,a,p,p,p,p,p,p,c,p,p,p,p,a,p,c,p,p,c,p,p,c,p,p,p,p,p,p,p,p,p,a,c,p,p,p,a,a,c,p,p,a,a,p,p","a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a"
"31",1,TRUE,FALSE,8,"A1",49,0.32,0.0555555555555555,9,186,"p,c,p,p,a,a,a,p,p,p,p,p,p,c,p,p,p,p,a,p,c,p,p,c,p,p,c,p,p,p,p,p,p,p,p,p,a,c,p,p,p,a,a,c,p,p,a,a,p,p","p,a,a,a,p,a,a,p,a,a,a,a,a,p,a,p,a,a,a,p,a,a,a,a,p,a,a,a,a,a,a,p,a,p,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a"
"32",1,FALSE,FALSE,8,"A1",49,0.18,-0.0138476755687438,9,186,"p,c,p,p,a,a,a,p,p,p,p,p,p,c,p,p,p,p,a,p,c,p,p,c,p,p,c,p,p,p,p,p,p,p,p,p,a,c,p,p,p,a,a,c,p,p,a,a,p,p","p,a,a,a,c,c,c,a,a,a,a,a,a,c,a,c,a,a,a,c,a,a,a,a,c,a,a,a,a,a,a,p,a,c,a,a,a,a,a,a,c,a,a,c,a,a,a,c,a,a"
"33",1,TRUE,TRUE,9,"A1",11,0.270833333333333,-0.0421836228287841,11,188,"p,c,p,p,p,p,p,p,p,p,p,p,p,a,a,c,p,p,a,a,p,p,p,p,p,a,a,c,p,p,p,p,p,p,p,p,p,p,p,p,a,c,p,p,a,p,p,p","p,a,a,a,a,p,a,a,p,a,a,a,p,a,a,a,a,a,a,a,a,a,p,a,a,a,p,a,a,p,a,a,a,a,a,a,p,a,a,a,p,a,a,a,p,a,p,a"
"34",1,FALSE,TRUE,9,"A1",11,0.229166666666667,0.0326797385620915,11,188,"p,c,p,p,p,p,p,p,p,p,p,p,p,a,a,c,p,p,a,a,p,p,p,p,p,a,a,c,p,p,p,p,p,p,p,p,p,p,p,p,a,c,p,p,a,p,p,p","a,a,a,a,a,p,a,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a"
"35",1,TRUE,FALSE,9,"A1",49,0.270833333333333,-0.0421836228287841,11,188,"p,c,p,p,p,p,p,p,p,p,p,p,p,a,a,c,p,p,a,a,p,p,p,p,p,a,a,c,p,p,p,p,p,p,p,p,p,p,p,p,a,c,p,p,a,p,p,p","p,a,a,a,a,p,a,a,p,a,a,a,p,a,a,a,a,a,a,a,a,a,p,a,a,a,p,a,a,p,a,a,a,a,a,a,p,a,a,a,p,a,a,a,p,a,p,a"
"36",1,FALSE,FALSE,9,"A1",49,0.166666666666667,-0.0212765957446808,11,188,"p,c,p,p,p,p,p,p,p,p,p,p,p,a,a,c,p,p,a,a,p,p,p,p,p,a,a,c,p,p,p,p,p,p,p,p,p,p,p,p,a,c,p,p,a,p,p,p","c,a,a,a,a,p,a,a,p,a,a,a,c,a,a,c,a,a,a,c,c,a,c,a,a,a,c,a,a,p,a,a,a,a,a,a,c,a,a,a,c,a,a,a,c,a,c,a"
"37",1,TRUE,TRUE,10,"A1",11,0.285714285714286,0.0365168539325843,12,187,"c,p,a,p,c,a,p,p,c,c,c,c,c,c,c,c,p,p,p,a,c,a,a,a,a,p,p,c,p,p,p,p,p,p,p,p,p,p,p,c,p,p,c,p,p,c,a,a,c","p,a,a,p,a,a,a,a,a,a,p,a,a,a,p,a,p,a,a,a,p,a,a,a,a,p,a,a,a,a,a,a,p,a,a,a,p,a,a,p,a,p,a,a,a,a,p,a,a"
"38",1,FALSE,TRUE,10,"A1",11,0.204081632653061,-0.0137931034482759,12,187,"c,p,a,p,c,a,p,p,c,c,c,c,c,c,c,c,p,p,p,a,c,a,a,a,a,p,p,c,p,p,p,p,p,p,p,p,p,p,p,c,p,p,c,p,p,c,a,a,c","a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,p,a,p,a,a,a,a,a,a,a,a,a,p,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,a"
"39",1,TRUE,FALSE,10,"A1",49,0.285714285714286,0.0365168539325843,12,187,"c,p,a,p,c,a,p,p,c,c,c,c,c,c,c,c,p,p,p,a,c,a,a,a,a,p,p,c,p,p,p,p,p,p,p,p,p,p,p,c,p,p,c,p,p,c,a,a,c","p,a,a,p,a,a,a,a,a,a,p,a,a,a,p,a,p,a,a,a,p,a,a,a,a,p,a,a,a,a,a,a,p,a,a,a,p,a,a,p,a,p,a,a,a,a,p,a,a"
"40",1,FALSE,FALSE,10,"A1",49,0.204081632653061,-0.0622568093385214,12,187,"c,p,a,p,c,a,p,p,c,c,c,c,c,c,c,c,p,p,p,a,c,a,a,a,a,p,p,c,p,p,p,p,p,p,p,p,p,p,p,c,p,p,c,p,p,c,a,a,c","c,a,c,p,a,a,a,a,a,a,c,a,a,a,p,a,c,a,a,a,p,c,c,a,a,c,a,a,a,a,a,a,p,a,a,a,p,a,a,p,a,c,a,a,a,a,p,a,a"
"41",1,TRUE,TRUE,11,"A1",11,0.153846153846154,-0.11609756097561,10,184,"a,a,a,p,p,p,p,p,p,a,c,p,p,p,c,c,p,p,p,p,p,p,p,a,a,c,c,p,c,p,p,p,c,p,p,a,c,p,p,p,c,p,p,p,p,p,p,p,p,p,p,p","p,a,a,a,a,a,a,a,a,p,a,a,a,p,a,a,p,a,a,a,p,a,a,a,p,a,a,a,p,a,a,a,a,a,a,p,a,a,p,a,a,a,a,a,a,p,a,a,a,a,a,a"
"42",1,FALSE,TRUE,11,"A1",11,0.134615384615385,-0.0125486802250108,10,184,"a,a,a,p,p,p,p,p,p,a,c,p,p,p,c,c,p,p,p,p,p,p,p,a,a,c,c,p,c,p,p,p,c,p,p,a,c,p,p,p,c,p,p,p,p,p,p,p,p,p,p,p","a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,p,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a"
"43",1,TRUE,FALSE,11,"A1",49,0.173076923076923,-0.106382978723404,10,184,"a,a,a,p,p,p,p,p,p,a,c,p,p,p,c,c,p,p,p,p,p,p,p,a,a,c,c,p,c,p,p,p,c,p,p,a,c,p,p,p,c,p,p,p,p,p,p,p,p,p,p,p","p,a,a,p,a,a,a,a,a,p,a,a,a,p,a,a,p,a,a,a,p,a,a,a,p,a,a,a,p,a,a,a,a,a,a,p,a,a,p,a,a,a,a,a,a,p,a,a,a,a,a,a"
"44",1,FALSE,FALSE,11,"A1",49,0.0769230769230769,-0.105403011514615,10,184,"a,a,a,p,p,p,p,p,p,a,c,p,p,p,c,c,p,p,p,p,p,p,p,a,a,c,c,p,c,p,p,p,c,p,p,a,c,p,p,p,c,p,p,p,p,p,p,p,p,p,p,p","c,c,c,c,a,c,a,a,a,c,a,a,a,p,a,a,c,a,a,a,c,a,a,a,c,a,a,a,c,a,a,a,a,a,a,c,a,a,c,a,a,a,a,a,a,p,a,a,a,a,a,a"
